id,complaint,category,language
ce83b933-1890-4e39-9bd5-31398436b545,Hazaribagh में अवैध अतिक्रमण के कारण सड़क जाम रहती है। Please help.,urban_development,Hindi
54c9584d-e6b8-417d-bd25-1923dc1ec78f,"Gumla में कोल्ड स्टोरेज की सुविधा नहीं চরম है, सब्जियां खराब हो रही हैं। Fix it asap.",agriculture,Hindi
dd4b04fb-5fa6-4e05-b6e4-c4149b9b7007,"Exam paper leak ho gaya hai Ranchi mein, exams cancel hone chahiye. Fix it asap.",education,Hinglish
ff18ed0e-0650-4bbc-bf7f-6dcc127bb0cf,Need better citizen facilitation center in Palamu. Please help.,public_admin,English
79bb723a-dc76-4dc9-9925-811149fe287a,No drinking water supply in Ramgarh for the last 5 days. Koi dhyan de.,water,English
53367799-364a-4ded-927a-c9ae6d9a2599,Crops in Ramgarh are dying due to lack of irrigation canals.,agriculture,English
7e5fba18-afd8-47d4-bffd-a1c58efc0b8c,Ranchi के बस स्टैंड पर विकलांगों के लिए कोई सुविधा नहीं है। Please help.,accessibility,Hindi
b444c924-2a87-4aa4-aa35-5f1a9f89b06b,Air quality index in Giridih is hazardous due to construction dust.,environment,English
d28969f4-1330-4332-adfa-3739435eba90,No drinking water supply in Ramgarh for the last 5 days.,water,English
d53120c5-178c-48f0-b699-409031ea16e5,Gumla ke river mein chemicals dump kiye ja rahe hain. Fix it asap.,environment,Hinglish
c32b2717-1e98-4f8a-bcb7-697660adc118,No drinking water supply in Ranchi for the last 5 days. Urgent issue.,water,English
af4c5b73-634f-44a7-a048-b6dc93a42139,Jamshedpur की पानी की टंकी में गंदगी है और पानी बदबूदार आ रहा है। Urgent issue.,water,Hindi
a71c3eb7-89e0-4403-80ed-058ece671a8e,Hazaribagh में अवैध अतिक्रमण के कारण सड़क जाम रहती है। Urgent issue.,urban_development,Hindi
0a14f3a5-2035-4740-b683-ead085780550,Kisan credit card ka loan maaf nahi hua Bokaro mein. Urgent issue.,agriculture,Hinglish
bc79ecee-d2ba-47de-8da7-f6ea29d3b97a,Need better library facilities in our government college at Dhanbad. Urgent issue.,education,English
93fa5817-4b58-49f9-bff3-80b58526ac90,"Bokaro के पास के जंगल में आग लग गई है, तुरंत बुझाएं। Fix it asap.",environment,Hindi
e4be6074-0cf2-4c71-9ad7-717449129a35,Ranchi में मुर्गी पालन के लिए सब्सिडी का पैसा नहीं आया। Koi dhyan de.,rural_livelihoods,Hindi
ff25ce84-6935-4583-bd78-3c4640fd9355,"Hazaribagh mein drainage system block hai, sadak par pani bhara hai. Fix it asap.",urban_development,Hinglish
c02a8090-ec17-4f4f-94a0-778481d5668b,Palamu mein MNREGA ke tahat 100 din ka kaam nahi mil raha. Koi dhyan de.,rural_livelihoods,Hinglish
e7c3f907-87a1-446c-baeb-94013eadb0ec,Crops in Ranchi are dying due to lack of irrigation canals. Please help.,agriculture,English
8efc649c-5a96-4f6e-8c8a-1d25f0e17ca4,Ranchi mein MNREGA ke tahat 100 din ka kaam nahi mil raha. Kripya dhyan de.,rural_livelihoods,Hinglish
8584b4be-1755-4485-9a6d-f1f9f1a7f81f,Need public toilets in the busy market area of Ranchi. Please help.,urban_development,English
094f9da9-487f-4878-b113-efe12a6d80cf,Ranchi mein forest produce ka sahi daam nahi mil raha adivasiyon ko. Please help.,rural_livelihoods,Hinglish
66f5f05e-60ed-4a7a-a9b9-4d32365d83b4,Grievance cell phone numbers for Palamu municipality are always switched off. Urgent issue.,public_admin,English
741f9bb6-c043-442c-b2da-4de5c822d149,"Exam paper leak ho gaya hai Hazaribagh mein, exams cancel hone chahiye.",education,Hinglish
8eb8e7ac-7865-4198-98bf-62783ad8c872,Low voltage issue in Gumla is damaging water pumps. Fix it asap.,energy,English
7d4cfafb-52f8-4e45-a9b5-8af4ed5afee3,No wheelchair ramp available at the Ranchi railway station. Fix it asap.,accessibility,English
12ea08d6-0413-462f-89e9-8a7b13dcf628,बच्चों को Jamshedpur में मिड-डे मील सही से नहीं मिल रहा है। Please help.,education,Hindi
2eeb0e8c-fb5a-4002-b892-30799ec5417f,Grievance cell phone numbers for Dhanbad municipality are always switched off. Kripya dhyan de.,public_admin,English
be1ed11d-7deb-4926-90e3-590f3ff3cf3c,Public buses in Ramgarh are not accessible for differently-abled citizens. Please help.,accessibility,English
0a672d37-3f02-40f5-a948-2754a5f7ed37,Police verification ke liye Dhanbad thane mein pareshan kiya ja raha hai. Koi dhyan de.,public_admin,Hinglish
fec796d1-75db-46f7-a808-d7c78da428ff,हमारे मोहल्ले Gumla में पानी का प्रेशर बहुत कम है। Fix it asap.,water,Hindi
1c7f6df4-7b7f-4a72-ab1c-02b40a90bfe8,"विद्यालय का भवन बहुत जर्जर हालत में है Deoghar में, कभी भी गिर सकता है। Please help.",education,Hindi
ed05974d-2fa6-4864-a75c-22ca6c757240,Giridih mein forest produce ka sahi daam nahi mil raha adivasiyon ko. Kripya dhyan de.,rural_livelihoods,Hinglish
f4c5a710-b5ce-48ae-8c7d-88a0f131c33d,Ramgarh mein forest produce ka sahi daam nahi mil raha adivasiyon ko. Urgent issue.,rural_livelihoods,Hinglish
74de35d9-ca50-4aaf-8a2c-c5849571f911,"Ramgarh में कोल्ड स्टोरेज की सुविधा नहीं চরম है, सब्जियां खराब हो रही हैं। Please help.",agriculture,Hindi
a76228d9-039d-4250-b6a9-622625247480,Unseasonal rains have destroyed wheat crops in Gumla. Kripya dhyan de.,agriculture,English
8beebf6a-cbdd-46c8-9bb4-c56f09e2abea,Deoghar में राशन कार्ड में नाम जुड़वाने के लिए पैसे मांगे जा रहे हैं।,public_admin,Hindi
f8b48021-c01b-4197-9587-3a2eee55481d,"Ranchi के पास के जंगल में आग लग गई है, तुरंत बुझाएं। Urgent issue.",environment,Hindi
4a873e88-433a-46cc-8864-48516409673d,Dhanbad ke government office mein disabled logo ke liye lift nahi hai.,accessibility,Hinglish
254a6e4b-c3cc-48bb-931f-edd7106c529a,Public buses in Bokaro are not accessible for differently-abled citizens. Fix it asap.,accessibility,English
5aa61ad3-9929-478c-9b9d-7b8542aed79b,Ranchi mein handpump pichle 2 mahine se kharab hai. Fix it asap.,water,Hinglish
a5c6210d-01d4-4f6f-8c3b-2439aeac17bd,Skill development center in Deoghar has been closed down. Kripya dhyan de.,rural_livelihoods,English
f8e6ab24-e945-4522-b532-c33400f95ba6,No wheelchair ramp available at the Ramgarh railway station.,accessibility,English
a90cf821-773a-42d4-ba3e-139ef150a22d,Covid vaccination center Palamu mein band pada hai. Kripya dhyan de.,healthcare,Hinglish
f583ff9f-2c13-4b67-b08a-97a0fa62348e,Bokaro mein MNREGA ke tahat 100 din ka kaam nahi mil raha. Urgent issue.,rural_livelihoods,Hinglish
3c1907da-78e1-4bb2-9859-4e30fd6b72d3,Frequent power cuts in Palamu are affecting student studies. Please help.,energy,English
8c1ddbe0-f86b-4329-8918-dbe80bcbc97a,Teacher vacancy bahut zyada hai Jamshedpur district mein. Fix it asap.,education,Hinglish
1525356b-2ab9-4a15-be05-e22db7d42ced,"Gumla में सीवर लाइन का ढक्कन खुला है, खतरा है। Fix it asap.",urban_development,Hindi
de63f0c0-4cd6-4fa8-adee-e20e92f9f222,गांव Jamshedpur से लोग रोजगार की तलाश में पलायन कर रहे हैं। Urgent issue.,rural_livelihoods,Hindi
c5fa0a18-f5aa-438a-bc6a-f6c0d890b7dd,Hazaribagh ke hospital mein dawaiyan available nahi hain. Kripya dhyan de.,healthcare,Hinglish
82f1c923-9765-4efc-828a-d0cae44d3eb4,गांव Deoghar से लोग रोजगार की तलाश में पलायन कर रहे हैं। Urgent issue.,rural_livelihoods,Hindi
ebf8ead9-c34a-4818-a9f2-72ea74b05b82,Deoghar mein parking ki suvidha nahi hone se traffic jam hota hai.,urban_development,Hinglish
752063d6-24f8-4ea6-91e6-bff86f38f661,Giridih में बिजली का बिल बहुत ज्यादा और गलत आ रहा है। Koi dhyan de.,energy,Hindi
ecd65ebf-14dd-412a-9ada-ae7d74cb0a98,Palamu mein forest produce ka sahi daam nahi mil raha adivasiyon ko. Kripya dhyan de.,rural_livelihoods,Hinglish
4f173e1d-9fac-4b20-a342-d3ac8b24b3e7,पहाड़ों पर Deoghar में अवैध खनन हो रहा है। Fix it asap.,environment,Hindi
cf0adb78-5731-4c4e-bdcb-a5d81bcca286,हमारे मोहल्ले Ramgarh में पानी का प्रेशर बहुत कम है। Urgent issue.,water,Hindi
55b7fe59-a4ee-499a-bac4-06c3f84e9f1d,Public buses in Giridih are not accessible for differently-abled citizens.,accessibility,English
18358aca-c69e-4742-99c2-958c415e5488,Bokaro में मूक-बधिर बच्चों के लिए विशेष स्कूल नहीं है।,accessibility,Hindi
9e88a9ac-36a8-4ae9-adb4-86891eee08ad,Garbage collection truck does not visit Gumla regularly. Urgent issue.,urban_development,English
d8613bfa-2b0e-41a8-8656-4938711f19b1,Jamshedpur ke hospital mein dawaiyan available nahi hain. Please help.,healthcare,Hinglish
fa4d1ba4-2d45-41ca-ae54-48740eafe0a9,Ranchi mein naya borewell khudwane ki jarurat hai. Koi dhyan de.,water,Hinglish
51a60296-916e-4df9-9e72-4caa46b885ea,Crops in Gumla are dying due to lack of irrigation canals. Koi dhyan de.,agriculture,English
e5b6ffac-61d6-40b9-a8b5-574471382939,Dhanbad तहसील कार्यालय में अधिकारी समय पर नहीं आते। Please help.,public_admin,Hindi
e5800f97-ceae-4278-8720-5661b69f291e,Construction of the Gumla flyover has been stalled for 2 years. Kripya dhyan de.,urban_development,English
