text,language,category,severity
Severe waterlogging has trapped residents in our locality.,en,waterlogging,critical
"भीषण भूस्खलन से कई वाहन और लोग मलबे में दब गए हैं, तुरंत रेस्क्यू चाहिए सामुदायिक केंद्र के पास।",hi,landslide,critical
"Please take action, A small amount of water has collected on the road near the railway station.",en,waterlogging,low
There is a civic issue that needs attention in the residential area.,en,other,low
नाली आंशिक रूप से बंद हो गई है हमारे इलाके में।,hi,drainage,medium
"तुरंत कार्रवाई करें, कचरे की हल्की सफाई की जरूरत है रिहायशी इलाके में।",hi,garbage,low
The fire has spread across multiple buildings near the school.,en,fire,critical
"कृपया मदद करें, इलाके में बाढ़ का पानी फैलने लगा है रेलवे स्टेशन के पास।",hi,flood,medium
"Gharon ke andar chest-deep paani ghus gaya hai, drowning ka danger hai school ke paas.",hinglish,waterlogging,critical
Part of the bridge is damaged in our locality.,en,bridge_damage,medium
রাস্তায় গর্ত হয়েছে এবং চলাচলে অসুবিধা হচ্ছে গ্রামের প্রবেশপথে।,bn,road_damage,medium
"তাড়াতাড়ি ব্যবস্থা নিন, গত চারদিন ধরে পানীয় জলের সরবরাহ সম্পূর্ণ বন্ধ আবাসিক এলাকায়।",bn,water_supply,high
Rain ke baad poori road partially waterlog ho gayi hai railway station ke paas.,hinglish,waterlogging,medium
রাস্তায় সামান্য ক্ষতি হয়েছে আমাদের এলাকায়।,bn,road_damage,low
A large crack has appeared in the building near the railway station.,en,building_damage,medium
রাস্তার পাশে অল্প কিছু আবর্জনা পড়ে আছে কমিউনিটি সেন্টারের কাছে।,bn,garbage,low
The building structure appears unsafe near the community center.,en,building_damage,medium
"দয়া করে বিষয়টি দেখুন, নর্দমায় সামান্য ময়লা জমেছে বাজারের কাছে।",bn,drainage,low
There has been no water supply since morning near the market.,en,water_supply,medium
The building structure appears unsafe at the village entrance.,en,building_damage,medium
Road completely collapse ho gayi hai aur already serious accident ho chuka hai community center ke paas.,hinglish,road_damage,critical
বন্যার তীব্র স্রোতে মানুষের প্রাণহানির জরুরি আশঙ্কা তৈরি হয়েছে আবাসিক এলাকায়।,bn,flood,critical
नाली का गंदा पानी सड़क पर आ रहा है बस स्टैंड के पास।,hi,drainage,medium
भीषण आग में कई घर जल रहे हैं और कई लोग जलने के खतरे में हैं गांव के प्रवेश द्वार पर।,hi,fire,critical
"Pichle 4 days se drinking water bilkul nahi aaya hai, drought jaise haalat gaon ke entrance par.",hinglish,water_supply,high
"Kindly check, Sadakon par flood ka paani chad gaya hai gaon ke entrance par.",hinglish,flood,medium
Sadak ki surface pe thoda damage dikh raha hai main road par.,hinglish,road_damage,low
The road surface is slightly damaged near the railway station.,en,road_damage,low
Part of the building has collapsed near the school.,en,building_damage,high
"Kindly check, Heavy debris is covering the road near the hospital.",en,landslide,high
Sadakon par flood ka paani chad gaya hai community center ke paas.,hinglish,flood,medium
"Massive fire blast hua hai aur multiple people severely injured hain, emergency response hospital ke paas.",hinglish,fire,critical
বিল্ডিংয়ের দেওয়ালে বড় ফাটল সৃষ্টি হয়েছে আবাসিক এলাকায়।,bn,building_damage,medium
Minor drainage issue hai gaon ke entrance par.,hinglish,drainage,low
"দয়া করে বিষয়টি দেখুন, এলাকাটি প্লাবিত হওয়ার আশঙ্কা তৈরি হয়েছে আবাসিক এলাকায়।",bn,flood,medium
पानी की सप्लाई में विषैला केमिकल आने से कई लोग अस्पताल पहुंच गए हैं स्कूल के पास।,hi,water_supply,critical
বিষাক্ত জল সরবরাহের ফলে বহু মানুষ হাসপাতালে ভর্তি হাসপাতালের কাছে।,bn,water_supply,critical
ভয়াবহ ভূমিধসে গাড়ি এবং মানুষ মাটির নিচে চাপা পড়েছে হাসপাতালের কাছে।,bn,landslide,critical
"तुरंत कार्रवाई करें, बारिश के बाद हल्का पानी भर गया है हमारे इलाके में।",hi,waterlogging,low
"Massive landslide me multiple vehicles aur log dab gaye hain, urgent SDRF rescue hamare area mein.",hinglish,landslide,critical
पानी की मुख्य पाइपलाइन फट गई है और पूरा इलाका प्यासा है स्कूल के पास।,hi,water_supply,high
सड़क के किनारे हल्का जलभराव है गांव के प्रवेश द्वार पर।,hi,waterlogging,low
কয়েকদিন ধরে ড্রেন পরিষ্কার না করায় দুর্গন্ধ ছড়াচ্ছে গ্রামের প্রবেশপথে।,bn,drainage,medium
"জলে ডুবে যাওয়ার ঝুঁকি তৈরি হয়েছে, উদ্ধার তৎপরতা প্রয়োজন গ্রামের প্রবেশপথে।",bn,waterlogging,critical
Road completely collapse ho gayi hai aur already serious accident ho chuka hai bus stand ke paas.,hinglish,road_damage,critical
Locality me flood water fail raha hai hospital ke paas.,hinglish,flood,medium
সকাল থেকে জল সরবরাহ পুরোপুরি বন্ধ রয়েছে আমাদের এলাকায়।,bn,water_supply,medium
A fire has started in our locality.,en,fire,medium
जरूरी शिकायत: कचरे की हल्की सफाई की जरूरत है गांव के प्रवेश द्वार पर।,hi,garbage,low
The bridge railing is damaged on the main road.,en,bridge_damage,medium
রাস্তায় কয়েকটি গর্ত সৃষ্টি হয়েছে বাসস্ট্যান্ডের কাছে।,bn,road_damage,medium
"তাড়াতাড়ি ব্যবস্থা নিন, সকাল থেকে জল সরবরাহ পুরোপুরি বন্ধ রয়েছে বাসস্ট্যান্ডের কাছে।",bn,water_supply,medium
সেতুতে সামান্য ফাটল দেখা গেছে বাসস্ট্যান্ডের কাছে।,bn,bridge_damage,low
"प्रलयंकारी बाढ़ से जान-माल का भारी खतरा है, तत्काल रेस्क्यू टीम भेजें स्कूल के पास।",hi,flood,critical
"कृपया ध्यान दें, झाड़ियों में आग भड़क रही है गांव के प्रवेश द्वार पर।",hi,fire,medium
पुल का एक हिस्सा क्षतिग्रस्त नजर आ रहा है रिहायशी इलाके में।,hi,bridge_damage,medium
ভূমিধসে ঘরবাড়ি ধ্বংস হয়ে মানুষের প্রাণহানির চরম বিপদ বাসস্ট্যান্ডের কাছে।,bn,landslide,critical
Residents are facing a civic problem in the residential area.,en,other,medium
